Année;Mois;Valeur
2022;Février;79.65
2022;Janvier; 78.85
2021;Décembre; 77.21
2021;Novembre; 78.22
2021;Octobre; 65.31
2021;Septembre; 68.64
2021;Août; 80.32
2021;Juillet; 79.97
2021;Juin; 82.00
2021;Mai; 81.98
2021;Avril;74.42
2021;Mars; 82.71
2021;Février; 83.51
2021;Janvier; 84.31
2020;Décembre; 83.94
2020;Novembre; 85.11
2020;Octobre; 82.66
2020;Septembre; 78.85
2020;Août; 81.22
2020;Juillet; 81.25
2020;Juin; 74.84
2020;Mai; 52.99
2020;Avril; 58.94
2020;Mars; 85.68
2020;Février; 85.97
2020;Janvier; 86.70
2019;Décembre; 87.71
2019;Novembre; 89.74
2019;Octobre; 90.62
2019;Septembre; 88.89
2019;Août; 87.97
2019;Juillet; 82.68
2019;Juin; 75.52
2019;Mai; 72.85
2019;Avril; 90.30
2019;Mars; 91.58
2019;Février; 94.48
2019;Janvier; 93.17
2018;Décembre; 92.32
2018;Novembre; 91.79
2018;Octobre; 92.88
2018;Septembre; 91.99
2018;Août; 92.28
2018;Juillet; 93.46
2018;Juin; 94.77
2018;Mai; 92.83
2018;Avril;93.51
2018;Mars; 93.27
2018;Février; 91.20
2018;Janvier; 90.57
2017;Décembre; 91.69
2017;Novembre; 92.43
2017;Octobre; 90.10
2017;Septembre; 91.15
2017;Août; 89.11
2017;Juillet; 89.27
2017;Juin; 90.04
2017;Mai; 93.44
2017;Avril; 92.71
2017;Mars; 89.88
2017;Février; 88.78
2017;Janvier; 91.81
2016;Décembre; 94.04
2016;Novembre; 92.69
2016;Octobre; 94.13
2016;Septembre; 93.75
2016;Août; 97.42
2016;Juillet; 97.49
2016;Juin; 97.15
2016;Mai; 98.19
2016;Avril; 101.07
2016;Mars; 101.05
2016;Février; 102.75
2016;Janvier; 102.35
2015;Décembre; 101.98
2015;Novembre; 103.21
2015;Octobre; 99.92
2015;Septembre; 97.37
2015;Août; 99.19
2015;Juillet; 101.98
2015;Juin;103.29
2015;Mai;103.36
2015;Avril; 99.15
2015;Mars;98.25
2015;Février; 97.32
2015;Janvier; 94.96
2014;Décembre; 87.19
2014;Novembre; 86.45
2014;Octobre; 90.27
2014;Septembre; 87.75
2014;Août; 88.37
2014;Juillet;85.74
2014;Juin;84.81
2014;Mai;87.53
2014;Avril;87.04
2014;Mars;87.07
2014;Février; 87.07
2014;Janvier;87.73
2013;Décembre;89.09
2013;Novembre;89.61
2013;Octobre; 99.82
2013;Septembre; 120.37
2013;Août; 129.20
2013;Juillet;123.5
2013;Juin; 123.70
2013;Mai; 121.09
2013;Avril; 121.21
2013;Mars; 123.35
2013;Février; 126.78
2013;Janvier; 120.93
2012;Décembre; 126.33
2012;Novembre; 128.46
2012;Octobre; 127.84
2012;Septembre; 129.42
2012;Août; 128.13
2012;Juillet;123.46
2012;Juin; 130.00
2012;Mai; 128.45
2012;Avril;131.58
2012;Mars; 131.19
2012;Février; 129.79
2012;Janvier; 130.62
2011;Décembre; 135.99
2011;Novembre;137.53
2011;Octobre;139.27
2011;Septembre;128.36
2011;Août; 140.24
2011;Juillet;140.66
2011;Juin; 144.68
2011;Mai; 143.18
2011;Avril; 134.21
2011;Mars; 135.60
2011;Février;151
2011;Janvier; 154.84
2010;Décembre; 154.30
2010;Novembre; 166.99
2010;Octobre; 150.03
2010;Septembre; 153.88
2010;Août; 152.77
2010;Juillet; 156.82
2010;Juin;148.98
2010;Mai; 142.00
2010;Avril; 141.57
2010;Mars; 151.21
2010;Février; 145.37
2010;Janvier; 148.79
2009;Décembre;147.21
2009;Novembre; 152.33
2009;Octobre; 155.64
2009;Septembre; 154.86
2009;Août; 154.51
2009;Juillet; 157.97
2009;Juin; 161.65
2009;Mai; 159.63
2009;Avril; 160.97
2009;Mars; 162.87
2009;Février; 172.91
2009;Janvier; 158.13
2008;Décembre; 168.39
2008;Novembre; 164.86
2008;Octobre;141.6
2008;Septembre; 146.79
2008;Août; 168.70
2008;Juillet; 175.20
2008;Juin; 172.65
2008;Mai; 170.47
2008;Avril; 175.18
2008;Mars; 175.94
2008;Février; 174.86
2008;Janvier; 176.35
2007;Décembre; 173.55
2007;Novembre;169.54
2007;Octobre; 178.64
2007;Septembre; 175.97
2007;Août; 177.54
2007;Juillet; 180.42
2007;Juin; 182.03
2007;Mai; 174.31
2007;Avril;148.34
2007;Mars; 176.20
2007;Février; 165.27
2007;Janvier; 169.48
2006;Décembre; 181.98
2006;Novembre; 188.56
2006;Octobre; 188.23
2006;Septembre; 187.19
2006;Août; 185.60
2006;Juillet; 177.60
2006;Juin; 184.84
2006;Mai; 187.85
2006;Avril; 191.99
2006;Mars; 186.39
2006;Février; 195.53
2006;Janvier; 193.95
2005;Décembre; 189.88
2005;Novembre; 170.63
2005;Octobre; 158.27
2005;Septembre; 157.37
2005;Août; 187.67
2005;Juillet; 192.12
2005;Juin; 199.53
2005;Mai; 199.47
2005;Avril; 195.30
2005;Mars; 197.67
2005;Février; 193.18
2005;Janvier; 203.58
2004;Décembre; 199.35
2004;Novembre; 192.88
2004;Octobre; 198.90
2004;Septembre; 202.67
2004;Août; 204.05
2004;Juillet; 212.00
2004;Juin; 208.71
2004;Mai; 222.65
2004;Avril; 220.79
2004;Mars; 216.70
2004;Février; 220.40
2004;Janvier; 218.01
2003;Décembre; 224.71
2003;Novembre; 209.65
2003;Octobre; 199.67
2003;Septembre; 219.99
2003;Août; 218.28
2003;Juillet; 224.66
2003;Juin; 227.09
2003;Mai; 233.72
2003;Avril; 236.91
2003;Mars; 236.03
2003;Février; 235.26
2003;Janvier; 233.42
2002;Décembre; 239.98
2002;Novembre; 230.33
2002;Octobre; 239.19
2002;Septembre; 248.25
2002;Août; 245.91
2002;Juillet; 250.00
2002;Juin; 255.84
2002;Mai; 252.67
2002;Avril; 253.58
2002;Mars; 256.88
2002;Février; 254.09
2002;Janvier; 256.29
2001;Décembre; 229.06
2001;Novembre; 230.09
2001;Octobre; 255.54
2001;Septembre; 258.49
2001;Août; 261.52
2001;Juillet; 260.58
2001;Juin; 274.24
2001;Mai; 266.17
2001;Avril; 266.28
2001;Mars; 268.13
2001;Février; 267.58
2001;Janvier; 270.96
2000;Décembre; 275.30
2000;Novembre; 270.29
2000;Octobre; 273.81
2000;Septembre; 272.24
2000;Août; 283.01
2000;Juillet; 263.88
2000;Juin; 221.20
2000;Mai; 242.59
2000;Avril; 251.43
2000;Mars; 273.90
2000;Février; 279.64
2000;Janvier; 272.20
1999;Décembre; 266.88
1999;Novembre; 293.33
1999;Octobre; 298.65
1999;Septembre; 293.77
1999;Août; 294.13
1999;Juillet; 302.58
1999;Juin; 278.17
1999;Mai; 202.90
1999;Avril; 280.80
1999;Mars; 301.26
1999;Février; 293.85
1999;Janvier; 292.95
1998;Décembre; 303.95
1998;Novembre; 321.33
1998;Octobre; 313.67
1998;Septembre; 308.06
1998;Août; 311.58
1998;Juillet; 317.70
1998;Juin; 296.12
1998;Mai; 295.24
1998;Avril; 322.79
1998;Mars; 308.11
1998;Février; 322.27
1998;Janvier; 324.19
1997;Décembre; 333.46
1997;Novembre; 325.39
1997;Octobre; 332.85
1997;Septembre; 332.27
1997;Août; 332.83
1997;Juillet; 347.79
1997;Juin; 335.98
1997;Mai; 339.77
1997;Avril; 352.80
1997;Mars; 344.37
1997;Février; 350.58
1997;Janvier; 346.94
1996;Décembre; 354.09
1996;Novembre; 360.18
1996;Octobre; 363.62
1996;Septembre; 379.70
1996;Août; 368.88
1996;Juillet; 329.47
1996;Juin; 372.89
1996;Mai; 418.53
1996;Avril; 423.71
1996;Mars; 427.99
1996;Février; 425.49
1996;Janvier; 446.57
1995;Décembre; 441.45
1995;Novembre; 480.43
1995;Octobre; 461.21
1995;Septembre; 462.80
1995;Août; 454.00
1995;Juillet; 400.62
1995;Juin; 401.72
1995;Mai; 475.44
1995;Avril; 465.64
1995;Mars; 472.35
1995;Février; 470.17
1995;Janvier; 479.03
1994;Décembre; 476.94
1994;Novembre; 484.73
1994;Octobre; 479.45
1994;Septembre; 460.28
1994;Août; 520.05
1994;Juillet; 508.31
1994;Juin; 525.89
1994;Mai; 495.23
1994;Avril; 510.06
1994;Mars; 510.91
1994;Février; 511.65
1994;Janvier; 482.66
1993;Décembre; 528.89
1993;Novembre; 518.73
1993;Octobre; 483.32
1993;Septembre; 425.02
1993;Août; 496.39
1993;Juillet; 487.57
1993;Juin; 479.08
1993;Mai; 492.60
1993;Avril; 505.36
1993;Mars; 497.69
1993;Février; 501.71
1993;Janvier; 499.67
1992;Décembre; 490.03
1992;Novembre; 480.18
1992;Octobre; 494.36
1992;Septembre; 479.16
1992;Août; 482.44
1992;Juillet; 490.12
1992;Juin; 493.26
1992;Mai; 511.53
1992;Avril; 514.61
1992;Mars; 516.67
1992;Février; 520.64
1992;Janvier; 512.66
1991;Décembre; 520.17
1991;Novembre; 510.66
1991;Octobre; 501.54
1991;Septembre; 464.82
1991;Août; 514.61
1991;Juillet; 517.09
1991;Juin; 592.89
1991;Mai; 524.81
1991;Avril; 516.63
1991;Mars; 513.80
1991;Février; 507.48
1991;Janvier; 510.99
1990;Décembre; 514.69
1990;Novembre; 524.50
1990;Octobre; 533.53
1990;Septembre; 532.64
1990;Août; 465.71
1990;Juillet;319.11
1990;Juin; 495.14
1990;Mai; 514.24
1990;Avril; 527.31
1990;Mars; 544.00
1990;Février; 535.95
1990;Janvier; 542.64
